reviewId,userName,content,score
bcbcac0e-f1f6-497e-b050-9a137a02cad3,Zhiming,Not bad but will be good if can provide a record of all the website the kids browsed.,4
a60ca2f6-5a52-4c13-b811-8f0b4e59d24e,speranta ureche,"When works is suuper good. More user friendly will be great. If, I want to lock temporarily Spotify, I can't find the button. But I can block any other search.",5
c0dd01b8-6cc8-4c0f-adf4-bfb57b3d1686,Mainul Hossain Jabed,Awesome App,5
10d2e020-5463-4f6b-b7f8-74a96e174485,Ayu Harimau,Edit:- OK; I will buy it. Very expensive. Please reduce the prices. I am from a very poor country.,5
b89cef74-5a37-4dd6-aada-17ce9b403fbc,Baris Chan,Tooo bad never use it,1
8d9b5a6a-1d8f-4f6f-8c9a-8bda4b8a40a4,Kirit G. patel,which application is child seeing is not founding,1
16a09647-e6b6-467a-868d-84a87613764d,A 'I,"When Accessibility is turned on, there's no separate option for accessibility and shortcut. There's only one for shortcut. It's so annoying to have that shortcut visible on the screen all the time. Please do something for God's sake. Why do you have to ruin good apps like this,",1
80f97461-f673-4648-a832-6dc5cff37368,Евгений Коваленко,"Ужастная глючная программа. Работет только с инетом от WiFi - инет от мобильных операторов не считает интернетом. Ребенок менее чем за час взломал родительский контроль начисто. За такие приложения доплачивать нужно, а не просить деньги 😡",1
4400c22e-4991-4c02-b3a8-cd87c6a6d992,La La,"UPDATE: obviously CS DID STILL NOT read the review❗❗Used the app for a couple years, mostly without any major issues and was loving it. Emphasis on WAS. Now nothing works the way it should. Forbidden apps don't get blocked anymore, neither does the blocking of installations... ❗❗❗CUSTOMER SERVICE is absolutely NO HELP❗❗❗Claims I'll just have to wait for an update. It's been over a month now, and still nothing. PLEASE FIX IT ALREADY! After all we are paying for a service we are not receiving.",1
ef8e116b-6346-41a0-8fb0-f1c144c31728,Petrika Janeku,"There is a issue or a bug where some app, 8n this case You tube can be used bypassing settings on child device and used free without blocking it This should be fixed as soon as possible.",2
c11946ce-f9e6-4921-92c8-8f5ed52cd43f,Tamunoibi Walter,Very good,5
d79cd3c8-966d-4676-b891-7dc8c43d3a1c,mohammed aboalfotouh,تطبيق زفت,1
f1f68f42-951a-4ea0-b349-c762df4c1647,Ernesto Hernandez,great application,5
dece7a8e-cf18-4ec9-847d-15b56602f37e,Douglas S,"Unfortunately, List of authorized applications I desigated for child's phone (while phone is in blocked mode), does not populate properly (only 10 if the 56 apps show up). Also unable to block/restrict phone on a schedule (like during school hours and selected other times). Can only block based on cumulative usage or manually. Child unable to access other basic settings when phone is unblocked (Wifi, Bluetooth, etc...). No time to troubleshoot further. Canceling subscription before trial ends.",1
8d0cfed4-260b-46ff-a9c2-ac93f432aef7,MD.Mahmud Hasan,Effective,4
3f5b5fe3-cc28-4213-923b-a0050b950e5a,Christian Stassen,"It somehow thinks phone has been used when it hasn't. My daughter's phone was next to me, turned off entirely, all night. Next day, the second I turned it on, it gave me an alert she'd used 1.5 hours of screen time. Definitely would never dream of buying premium until I see it accurate",1
1f4c87ff-2550-48ca-a41c-70b54396e4c8,szabo attila,A plesesent surprise.Recently i bought a Kaspersky Total Security activation key for 5 euro and this app s pro version vas included in the pack. Works great for now. Kids Secure folder hack finally solved.I tested a lot of apps .The samsung secured folder got them all screwed.lol,5
fe8b94ba-9753-4406-bfcc-fb6fc6884119,Peter Aniefiok,Superp,5
1784cb6d-0caa-46d0-8a8b-376994f8dac6,Shahadat Jamil Shaon,Very effective. But settings is sometimes difficult to understand,4
b6b143f6-2fdd-46a6-96ca-b40cebb4b8b4,Umar Zada,Amazing work location and lock 🔐 apps,5
90831bd2-f916-4533-a173-37457208e801,Ahmad Faiq Ramli,I can't control my child's phone. I've already submit my complaint and no action taken,2
2ef3f6a1-8bc3-4685-992b-f596653b6d4c,Sidney DSouza,Best app out there I think.,5
817f77fc-ad41-4d09-b47f-89657af33758,Kennedy N,It does not block in-app browsers,1
232e780c-179c-45c8-bb89-6700ba8b7c92,Sumith Nandana,Good and useful app.,5
30d8a01d-4b37-48ff-963e-47e022a92523,Nayoung Lee,Doesn't accept paid subscription code. Garbage.,1
